total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
131072,66205,1,2,192,2,1,0.2587890625,0.1884765625,0,22284,14567,85,17627,2109,tiktoken,QmSDgVscAHxgzbAKtg1YZjsmEfHcRYGJZzKwykhuKyc62A
262144,182084,1,1,260,10,1,0.2587890625,0.1884765625,0,67223,72407,85,29053,3767,autogen-agentchat,QmUspxnhGDhSah5LziPtA78bjivGYL9bZ1ZxhGUG61Rn7u
131072,66610,1,3,252,2,9,0.2587890625,0.1884765625,0,22689,14567,85,17627,2109,azure-core,QmemGabLEL6Rq43PnW9D8EdemP1XiPP1dWwys1rAPDt8v4
65536,27664,1,3,173,0,7,0.2587890625,0.1884765625,0,11517,105,85,6137,443,isodate,QmTycX9i9M3AYkSEiocEr82wkfqjzDJ2izJnqLQJWKpFkC
131072,79432,1,1,205,3,1,0.2587890625,0.1884765625,0,28281,21797,85,17627,2109,azure-ai-inference,QmcxCfb4YyYv1DsyD6SECQStoWY19eTJDATYigR8mMECeX
131072,79242,1,2,205,3,1,0.2587890625,0.1884765625,0,28091,21797,85,17627,2109,azure-ai-agents,QmP8U6tN83pJGbcD8t6AASDqw3ivqzWFuXKbyKVaGMBVW5
262144,98770,1,2,213,4,1,0.2587890625,0.1884765625,0,33847,29027,85,23340,2938,azure-storage-blob,QmRvvUWBx97cA3Fk6e7k8QJAz5jFv7Sz5tN3794u8kJaCN
262144,111425,1,1,220,5,1,0.2587890625,0.1884765625,0,39191,36322,85,23340,2938,azure-ai-projects,QmUoRDWQSfUbfQj9MGx77yVbWQrahrMgKQ3CuuPiZrhh5n
65536,27259,1,7,170,0,1,0.2587890625,0.1884765625,0,11112,105,85,6137,443,zipp,QmZqvC248cUF3cHqr7LRQiTnFqkk59vUAcpNXMbCxwszeG
131072,47269,1,6,182,1,2,0.2587890625,0.1884765625,0,17129,7337,85,11914,1280,importlib-metadata,QmYWXwUGwvCuP2e44pEPwDpxzwWAAEX2Sg6kgUKes1Ym2u
131072,66616,1,5,190,2,7,0.2587890625,0.1884765625,0,22695,14567,85,17627,2109,opentelemetry-api,QmV4Wi4WnQTn81PwfQxJP7WCGycxRLjpE89CuvQVUVZzQt
