total_cycles,user_cycles,depth,verify_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,comp_name,cid
262144,111743,1,1970,5,1,13,7651.546875,7651.4765625,azure-ai-projects,QmU1GXYab3pPfztrfdiMaQo556NXmbeng2iTMPbJv9ui7n
65536,27577,7,32,0,1,0,216.087890625,216.017578125,zipp,QmThEtSR7w513ziPjx7af8zcBt1ZGK6r5M2b3ce45HVG7K
131072,47587,6,155,1,2,1,454.671875,454.6015625,importlib-metadata,QmZgUuGrV3vutmqs1a93z8vSsYUYZmpgvZLxESY4wSHPmL
131072,66934,5,305,2,7,3,909.33984375,909.26953125,opentelemetry-api,QmNVrVbWmvSerWPk3ExhYVx1hD6cesnZhvRze6YiShaLdC
131072,66586,1,886,2,1,10,2716.94921875,2716.87890625,azure-core-tracing-opentelemetry,QmQbfjZoepRm83ZXZWk3U6x2WJsi8rUBTpXX5aSmtjsAvy
131072,66531,1,683,2,1,7,2023.697265625,2023.626953125,azure-cosmos,QmT8iors8t25qoXqetAtVVKfpqTMGgmVns7RyTHf19Ep8p
131072,47562,4,352,1,3,4,1147.923828125,1147.853515625,pyjwt,QmWFa3MU4uMVnXizUFvbfLTMZT2thsn7sbNsSrrnzWhvwa
131072,79310,3,933,3,2,10,3410.201171875,3410.130859375,msal,QmU7FVfQNZQHv7s26PjuUEDLqa6qZm78Y9uByxyf3v61g3
131072,47589,2,825,1,1,11,3648.78515625,3648.71484375,msal-extensions,QmfM2co7SgcoNvWCwJe15eZGme4SVB5zdaSvUktZgmivzA
262144,111882,1,1723,5,1,13,10003.44921875,10003.37890625,azure-identity,QmX3pRfPYkxW1DjDgF7Md9YJBB2ygwJnotdfm7CdzJUArP
65536,27594,2,34,0,1,0,216.087890625,216.017578125,azure-common,QmRAADBKSAzwQWawJVbHAtumFTo1XxfoFkoXuy7uQVo8bV
262144,98691,1,625,4,1,9,2467.302734375,2467.232421875,azure-search-documents,QmchSt2rdivCmxHaQNuDQJiYjSh9mhVBKoqPbENB7Y38JG
65536,27767,4,34,0,2,0,216.087890625,216.017578125,jmespath,QmdDzLsLXFWQzEoAWMA6sxkdBsTHZaLkemveWXPWoU7XCH
65536,27983,5,31,0,4,0,216.087890625,216.017578125,six,QmPryAPGGR4WxBtE2DzB15ZjAryDL3WRyVnpZANJQRWsBS
131072,47392,4,154,1,8,1,454.671875,454.6015625,python-dateutil,QmQnEeE3W5BofbxWnJXhLCu9prPiidj5UhtftFmfdTSvsa
131072,79560,3,382,3,2,4,1125.423828125,1125.353515625,botocore,QmPMWzNGQVus2k4kG9UvfCw5tkoX8tEPLfUBPikE1buh6F
131072,47581,2,461,1,1,5,1364.0078125,1363.9375,s3transfer,QmQeq5jRDBb2g8X7KywZtbgSA6FpBCtMyb9PisR6LohJc1
131072,79715,1,862,3,1,6,2944.095703125,2944.025390625,boto3,QmQipfMXpso6nwvmcBk8GzCh8syTSEm5oSsZyV1oty8buW
65536,27972,2,32,0,1,0,216.087890625,216.017578125,bcrypt,QmdzJi7SB4AYGttJDZ5k9dW6mAT6WwpgQVC71URHQYxf7s
65536,27999,3,33,0,1,0,216.087890625,216.017578125,pyproject-hooks,QmaVNqP1Lg3tf2nqK7aNQ7wGqbdeWVrGKHsa1JxMFSeyT1
65536,27769,3,32,0,4,0,216.087890625,216.017578125,tomli,QmUGwXL4paZ4GosPJhHJMQAseEz5ph8nhcvQWrujhHTDDb
262144,111717,2,525,5,1,6,1569.029296875,1568.958984375,build,QmXs5g3n2RqfFreGR4Bt32hLCC9WQyBS4A7WgFspggtMbk
131072,47572,7,133,1,12,1,454.671875,454.6015625,grpcio,QmT8RemDSeDeFJNL1GgHeZquwpCaWvWQYJrZeZwqaM1rFK
65536,28007,2,76,0,1,0,216.087890625,216.017578125,importlib-resources,QmcNLYa9udtVUp9hx99fvhrQtC5n33k4pmLKGWfDB7LZQL
65536,27972,7,76,0,3,0,216.087890625,216.017578125,attrs,QmajMMJbGx3Ta166NHkXx14PrP3sVkWdG4cy7bmJJQb3gz
65536,27992,7,76,0,2,0,216.087890625,216.017578125,rpds-py,Qmbj2RTRfg8UtTkbssVk96z4m7HC1rNgXkoJNgbcwXf4xh
131072,79734,6,308,3,3,3,886.83984375,886.76953125,referencing,QmchRtvRACy7njPqitkr7JDG7AenztzjzRbGsay3b8Wgru
131072,47400,5,383,1,2,4,1125.423828125,1125.353515625,jsonschema-specifications,QmWnwBiuhidPPgauzSeMsxkvyCjGD7BaAtmCyKeE3DhRwg
262144,99062,4,880,4,6,5,2694.44921875,2694.37890625,jsonschema,QmdDwev2Xez2Wg7RDYtRXMJxBJeEkQGzr9CbFMi14wjVw3
65536,27587,3,33,0,1,0,216.087890625,216.017578125,durationpy,QmRMzFjvkivhGbh2dkX8XhmNJ9EEEWQxyffjhjStndzZWS
65536,27972,5,79,0,10,0,216.087890625,216.017578125,pyyaml,QmaVR33xL1byERexw357X7GJAJHFzqrw1jg3sbqFzrHC7e
65536,27767,4,88,0,1,0,216.087890625,216.017578125,oauthlib,QmSNmKefAKitRE6VwfKqW7h5mSKkDNJw8KrUiJQRidt44U
131072,66758,3,533,2,1,6,1569.029296875,1568.958984375,requests-oauthlib,QmPjtkH7kkaSoURWRzQLmjMJwPn3CKYGNyetMb1aJ4YjMx
65536,27784,3,77,0,1,0,216.087890625,216.017578125,websocket-client,QmPmjVoFfJ87zLYfLHafAwTWSz8RSLWT8c2ogL9h6TA4Xp
262144,169600,2,1151,9,1,12,4684.580078125,4684.509765625,kubernetes,Qmbu8AHdwy37r7HPe3P87qC9fyBN9hCdXNbrTJLwp8DXr9
65536,27792,2,76,0,1,0,216.087890625,216.017578125,mmh3,QmNU1oRMDTA3mjZboVrh7PWLJfijqzF8PzkFTLVEUSMqTX
65536,27991,5,76,0,1,0,216.087890625,216.017578125,pyreadline3,QmfFipxKyHW7pbnzh898RPDPCXMEwLyut1SfhmaczJ9192
131072,47399,4,156,1,1,1,454.671875,454.6015625,humanfriendly,QmbuGrpNHfoZi64a55B5efWATFCDwQycTwAfoH3wLGGac8
131072,47591,3,232,1,1,2,693.255859375,693.185546875,coloredlogs,QmWQwi2UZ98u66sCMhoKA6oUxwWxBpECgkJqXv6o1AeyAE
65536,27764,3,77,0,1,0,216.087890625,216.017578125,flatbuffers,Qmc6KCQo2kPczSUCaEoP1zCxH4LmQbWNDPRxdzdvxQB4WF
65536,27586,7,76,0,14,0,216.087890625,216.017578125,protobuf,QmdMKG8yZh8VxphLjXF8N1DoaAoDtUJ46D9sE1JheiXn5w
65536,27972,6,77,0,1,0,216.087890625,216.017578125,mpmath,QmYBqdqpKomXdHEfRTxUvWuSjNiqzWKoC2JVcmW4THtrmQ
131072,47562,5,155,1,2,1,454.671875,454.6015625,sympy,QmYcXfCYkRLW35nNnvKQQHb8trsfd2PxZLJP6DVsgJst7s
262144,124680,2,750,6,2,9,2262.28125,2262.2109375,onnxruntime,QmNPfaa1ru9o38kWgc7n2JnPds44CQeXAKaphAmijEV89r
131072,66557,6,125,2,7,3,909.33984375,909.26953125,googleapis-common-protos,QmbmnphiBTur7PdsQ7cacRJTeNCMyVYj1tuj2sM39iUCvs
131072,47607,4,155,1,3,1,454.671875,454.6015625,opentelemetry-proto,QmfM6sqGhSQySu2t2rh3eWXRKXJ38XcNuY5GTabpa1NvRg
131072,47244,3,236,1,2,2,693.255859375,693.185546875,opentelemetry-exporter-otlp-proto-common,QmeAE6CfNP1RrGYEhCALZ3yR7bWVN8pe7VEoq5BwGbR97s
131072,66978,4,460,2,1,4,1364.0078125,1363.9375,opentelemetry-semantic-conventions,QmTf3UnoexiBdBn5mGnLcSywq3BFh3uJHLWUMMv7FxivFb
131072,79730,3,889,3,4,5,2728.01171875,2727.94140625,opentelemetry-sdk,QmVud5Z2HrGWVZrQLtTRTnAbLr73fW9bLtGoDfCQqJDggx
262144,137525,2,1247,7,1,11,6615.376953125,6615.306640625,opentelemetry-exporter-otlp-proto-grpc,QmThVsVPGwPtXwziq4UHQRaoXKXL82dgxGicd3Aqmxxghc
65536,27982,2,50,0,2,0,216.087890625,216.017578125,orjson,QmaxkhrHqRLPfaJkAPLSdNNHTTZP2tTtnJ76EawDbHBmZE
65536,27779,2,40,0,1,0,216.087890625,216.017578125,overrides,QmUbrh91HJcfqYUzDirxLzCpyLdp2CcjB2RDKZvu1cuM1r
65536,27982,3,79,0,1,0,216.087890625,216.017578125,backoff,QmfUZifYC6Hxc2UFTYBV79E64HVCfPUM2teK7G1uuhEh7M
262144,111865,2,647,5,1,9,2467.302734375,2467.232421875,posthog,QmUM6DraenqhJA6z9ZG1FnTFE3V47KgYbTi5twZGVRzYXw
65536,27767,2,37,0,1,0,216.087890625,216.017578125,pybase64,QmbuyTydKZzjUKi6htDm8otCsUJTtrN9Bmzw7fbqf9WyPS
131072,47572,2,163,1,1,1,454.671875,454.6015625,pypika,QmZkM47FDq1Mm9FDpA571y9ogo7KRTJYstuvhL2pPtya1m
65536,27769,5,78,0,1,0,216.087890625,216.017578125,mdurl,QmSsxivDzH9jtgkTzvbzXMen8qy3Gz8MVPXJ9knAvFsTHi
131072,47579,4,168,1,1,1,454.671875,454.6015625,markdown-it-py,QmQAN6Q12BipazaCKQ1rZdnt4V3yJXK2hQpQtTcGBMFxAM
65536,27586,4,82,0,8,0,216.087890625,216.017578125,pygments,Qmb4P4XMEMRtDLChRuuE6QPmxpJevqVCqxwScGdJ2BjugW
131072,66514,3,310,2,2,3,909.33984375,909.26953125,rich,QmZr741rFFnWXDURnPqNyAZFnmZmPC13SXm348ErY41d8r
65536,27767,3,77,0,3,0,216.087890625,216.017578125,tenacity,QmRLNDVf5EfUeXCzDUMBkmocMciSuRE2RcwUBh29JXSKvH
65536,27586,5,76,0,5,0,216.087890625,216.017578125,filelock,QmZ8YPpcEdMcEsG7WLFQnNLN6dq1Xbnh6mBN2qnjHtBAMq
65536,27586,5,77,0,2,0,216.087890625,216.017578125,fsspec,QmQKjK4mkP8TkQeycJH9eD9Xm2oDVuFFqLWdV11cPEZVoT
65536,27972,5,76,0,1,0,216.087890625,216.017578125,hf-xet,QmdfLrkJN8w71uC2ipdfA3ZBVnJEwBHL6pQjTbYB1dij2r
262144,156822,4,872,8,4,13,3115.5546875,3115.484375,huggingface-hub,Qmep8Jp7taMGNzbC6Q3Ku8AXXQycoA6Hv98VpXTJUYD2LH
131072,47581,3,522,1,2,14,3354.138671875,3354.068359375,tokenizers,QmUwPb4nfndkxrztRffxv74r8cHDKdgV6CGZAhDA7p8qAa
65536,27786,3,36,0,1,0,216.087890625,216.017578125,annotated-doc,QmTx4daPfYRcgj86uXm7kYcCr2AsCUtnqhXCtLHBhgzcfj
131072,47372,3,154,1,2,1,454.671875,454.6015625,click,QmeZ9tK5X7uTm6WNNH9qRUpbafzu32Pzt64GDuXkbSK4E9
65536,27991,3,77,0,1,0,216.087890625,216.017578125,shellingham,QmaYqfSioXs8X8ae7cSPZeZ51R2AWcEq3N4HU2P1depUFP
262144,99043,2,686,4,1,8,2046.197265625,2046.126953125,typer,QmY6xH8X99tgszzp3pDiH9MhUGfQDV9rrTunkJS8ZKLNea
65536,27779,3,36,0,1,0,216.087890625,216.017578125,httptools,QmbHHdcp6WiGXUK6jUU7mhNhxYfz7vWKmLegbsrTt8xNUS
65536,27982,3,60,0,1,0,216.087890625,216.017578125,uvloop,QmWymTRCW3XjqvCby7DmFGeNYvSiAEN4JNZjMTqWcqauP6
131072,47571,3,463,1,1,4,1364.0078125,1363.9375,watchfiles,QmWKjvxgSQT6oX95fQHk34kSZMJFHZZP5KYjuGdvCEGsrQ
65536,27991,3,76,0,2,0,216.087890625,216.017578125,websockets,QmVLWGnr3v8mFPJ6QVAatxbeuS9VEjD7YZB6rFiAD4DkGy
262144,182397,2,944,10,2,13,3797.369140625,3797.298828125,uvicorn,QmYKWUiM5eWgYdVy6xUJRZ16dynUtfH6HJhETrevTWDEW2
524288,406097,1,6468,27,1,86,42564.814453125,42564.744140625,chromadb,QmVpkSbTSW9FQPYLf2vLutNMdCjs3MrDtaJKcgByTQUepb
131072,47581,2,67,1,2,1,454.671875,454.6015625,deprecation,QmUnF6FccadmgAgDkD1myCXT42ktqpDqCuxdCmJSZNj3Q9
131072,47591,1,104,1,1,2,693.255859375,693.185546875,cloudevents,QmcSzYeMopJcJ4mwCWNdsaUQtWt1ZrHVK3gYFKVGAK1nWP
131072,66918,1,228,2,1,2,670.755859375,670.685546875,faiss-cpu,QmV5rdNV1KdiG1jBppFa1CjV7JzvWyu6vNc6Bx2fbGt1xa
65536,27972,7,76,0,2,0,216.087890625,216.017578125,pyasn1,QmafZCKeAYXPNB23RbkdRatCSsL59hsqqB9R8GuqSdUtGo
131072,47579,6,154,1,1,1,454.671875,454.6015625,pyasn1-modules,QmXxZEzHeBH86HiXrVTKS5EDtNPJXWb8kwi23LqU2CsfhX
131072,47563,6,156,1,1,1,454.671875,454.6015625,rsa,QmP3SCGh9jjzuwZKK5P4HDZoZTUb1EEwULPa3FufKokh82
131072,79734,5,696,3,7,7,2057.259765625,2057.189453125,google-auth,QmeZXDdiYtqrHH6L64Je6fELtm8APkMA6yPrkvNNPovp8D
131072,79722,5,558,3,1,4,1818.67578125,1818.60546875,grpcio-status,QmS5k1yUSuysCSwAFZCo69YxX2PpvCZReoZgn1G7ZCtwv1
131072,47581,5,155,1,3,1,454.671875,454.6015625,proto-plus,QmPDGyD1bFygR689n5jUQmN95f4v4zzZCaSR3bAGNhvTAk
262144,137484,4,1392,7,5,18,7275.06640625,7274.99609375,google-api-core,QmPdPwdxr3r8egbkChW56GTeYJzR9NJUwQMBh3TWuCrrHm
131072,66758,3,1630,2,2,19,9570.90625,9570.8359375,google-cloud-core,QmYVhffeT8d1NPqCT2qoEVBN8aeeh4e3Yw3mZEtBTzaE1U
131072,47596,3,70,1,2,1,454.671875,454.6015625,google-resumable-media,QmQFTeEA9pC7ZcchTyU7VkTtybiCM1Mpo4h7dquV6DNADn
262144,137481,2,3508,7,1,25,21393.0234375,21392.953125,google-cloud-bigquery,QmPb8Hg7AwtPYqzLU2VcU2rwEPPhk9U2ymEt1iUuRHr5ge
