cycle,depth,verify_duration,children_count,parent_count,receipt_size_kb,seal_size_kb,comp_name,cid
65536,4,75,0,2,216.087890625,216.017578125,dill,QmZc1VPSipgiWYBGvtgGF3ZU9S5qqUd6oMFCpf5xeYjQPG
131072,3,154,1,1,454.671875,454.6015625,multiprocess,QmVjg7yU8xM6B96Emxotw8S4UiXFNiSMRBx9Sh3cYKvp9P
65536,5,69,0,1,216.087890625,216.017578125,tzdata,QmZaYDu6oVgKqEU5SwidVwUVVkTFUHkh7qmzEytw4kYnsA
131072,4,372,3,6,1125.423828125,1125.353515625,pandas,QmYs34JbQsd6Bn1rdwK5QatbLNapUtkdLDgyomeLGWvBSc
65536,3,40,0,1,216.087890625,216.017578125,xxhash,QmVFmZzvjbi5HMMD8vgXfkXNeeziX9urYbVdi2mjKEtGMu
524288,2,2718,13,1,17065.82421875,17065.75390625,datasets,Qmc1bow35N5hdzy8cMoL3E4fT292wFxYK5KHouCMkx4z59
131072,2,62,1,1,454.671875,454.6015625,flashoptim,QmV7fZ7aLaFboTBJAjQvfuG81USnVjFPxtNSA8pesuFwSR
65536,3,50,0,1,216.087890625,216.017578125,einops,QmeJXXq7CJfYtpojU36i61J5AYnrNM1f94G6nS4jyS4HWk
131072,2,247,2,1,670.755859375,670.685546875,megatron-fsdp,QmURxaNWBvvFvqrJf7JjSvMqDpcFhDyHoj3CDTC5GfExtk
131072,4,153,1,1,454.671875,454.6015625,mako,QmaARyQK76MbWDC48wUtmpzgmdy9avCGDUnomSoDu9qU1R
131072,4,63,1,3,454.671875,454.6015625,sqlalchemy,QmRant5nTV4PDuFXNvK8AWzPR2Jn5cioKLJ84atuybasee
131072,3,189,3,2,1364.0078125,1363.9375,alembic,QmT7FsgzEBvdyWarPrZLHnTLKZqaknXb96DBva6s7BcYBQ
131072,3,210,2,2,1569.029296875,1568.958984375,docker,QmUT79S5SwvsB2mN54qrCfkPR979FyDM5XQxe6QCKZAAJz
65536,4,75,0,1,216.087890625,216.017578125,blinker,QmVSpgeqwXzmJnaujFke64QaYrb2J2Q6ZRGncm5x3BV83f
65536,4,75,0,1,216.087890625,216.017578125,itsdangerous,QmRE84WsrHmZHZ8exJuxBhnUSACmrCRVvbn8DzEPAx6mE1
131072,4,154,1,3,454.671875,454.6015625,werkzeug,QmYgvrubYT77WDPNxjawb6oSSMhpGHh8jrqAzUgsxEBojN
262144,3,652,6,1,2023.697265625,2023.626953125,flask,QmefaKs8SPPK7KYR2jboE5MyXFxRgtvdpHXXne66vLAb7x
65536,5,64,0,2,216.087890625,216.017578125,graphql-core,QmbRdjvjcTVoQDCEdw4dZZ2ubWbC965j1oSdK4uE6KgDeE
131072,4,153,1,1,454.671875,454.6015625,graphql-relay,QmdbqFP36kQzxnVNfJKQREBm8fxJ4YyJ8SyS6CmMF5DrBX
262144,3,523,4,1,1591.529296875,1591.458984375,graphene,QmUgagNkqFJMTcUCurbuyFhg4JB1NAX3WLVis1ycTo7hNp
