total_cycles,user_cycles,depth,verify_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,comp_name,cid
65536,27586,5,78,0,2,0,216.087890625,216.017578125,fsspec,QmdaVY67h8U4Hztjc8SKFegYSAuawmDPjU8AFkV3UP2qRa
65536,27972,5,78,0,1,0,216.087890625,216.017578125,hf-xet,QmNkvH5LF1S5fYXo9W44E6yFsGwRz1qcZ92EbJUohecCTD
262144,156822,4,77,8,4,13,218.056640625,217.986328125,huggingface-hub,QmREVkQDUGf6ZFkKr6zyXo71TSCyTXv11WoQLD6kRum5nD
131072,47581,3,77,1,2,14,218.056640625,217.986328125,tokenizers,QmeD6aHTaCVdxxp2zhoXUnMLT26UknsHWiu667Br9pZvzR
131072,47372,3,77,1,2,1,218.056640625,217.986328125,click,QmXukKx3D7k4wY3w5YeiuoJAAaUoWwcgjLX8zroGLJaGpm
262144,99043,2,77,4,1,8,218.056640625,217.986328125,typer,QmZ7rcGVgh5VGKz74L7qKPZA9ddLjBKwDUcDv8PkHdrmF2
65536,27779,3,77,0,1,0,216.087890625,216.017578125,httptools,QmVgAJwWVkdGxLywNQNPx1f2QBwVtDWac77tDM8316ZuY4
65536,27982,3,77,0,1,0,216.087890625,216.017578125,uvloop,QmVqUAYNUjjcLeCgg4Pf4uceQyY4BZrxEuePRp3xbMNca9
131072,47571,3,77,1,1,4,218.056640625,217.986328125,watchfiles,QmSTkNnKyG92DT24GjVNrv2E3ZaafuRBaNymLd7ewf1Vh3
65536,27991,3,77,0,2,0,216.087890625,216.017578125,websockets,QmTZtqC3VZS8wJgvMNwc8sahiJ9W4T4tkjfmnzSqAGXmLi
262144,182397,2,77,10,2,13,218.056640625,217.986328125,uvicorn,QmSwvsAavw2GFHXYsKLM8ckbGnx4zL2FGdQBBHbuKAWej7
524288,406097,1,77,27,1,86,218.056640625,217.986328125,chromadb,Qmcw8UrCqs2kyK9YxXX9rPn7VckDMkTetjMsxaWT5G3Xvd
131072,47581,2,77,1,2,1,218.056640625,217.986328125,deprecation,QmSw5XwePTAK6ytf6McBCM3zaEPge1BvfSyC6ACi2nVW9Q
131072,47591,1,80,1,1,2,218.056640625,217.986328125,cloudevents,QmTsQdxKnphrxzJQPtCnxUjEGysKWn5Kk2jWb7rp5qaGD3
131072,66918,1,78,2,1,2,218.056640625,217.986328125,faiss-cpu,QmZxhP5kM13CzzPXdAqWCnzVvAPvAQizy3uhK8fxFrHTj4
65536,27972,7,77,0,2,0,216.087890625,216.017578125,pyasn1,QmVFmXVrSzqMH8rgZXUPTVNRr3Nbs9PHMc8CinKEQtBPnN
131072,47579,6,78,1,1,1,218.056640625,217.986328125,pyasn1-modules,QmRodsXkvjcu3EN4MAdxK3unRZDceyeYhCja7gPAoFeymN
131072,47563,6,78,1,1,1,218.056640625,217.986328125,rsa,QmV45LmKYD5dHcDLgUY9sdwgLR4gugQEAu2a3ryPLhHtfc
131072,79734,5,78,3,7,7,218.056640625,217.986328125,google-auth,QmdXRZieYUH9pCf4QDZAqbRPFvUiHydCKFhKmaWsabZ431
131072,79722,5,77,3,1,4,218.056640625,217.986328125,grpcio-status,QmVsfL49nYdSYCf8Nk4nQnEhJ4kLKdNgu4JTbpi2SwVdML
131072,47581,5,79,1,3,1,218.056640625,217.986328125,proto-plus,QmPCwotZKmzYTutH5x3yvhAMcHRQQZ3VCPqeVvFWCM3tmZ
262144,137484,4,78,7,5,18,218.056640625,217.986328125,google-api-core,QmWyBy6BU9zAKFejSpzfbQK3dxR6exSu9QL8mpfYNtzBM3
131072,66758,3,77,2,2,19,218.056640625,217.986328125,google-cloud-core,QmcHjwv4r6ZrA6pTuie3h1t3arTh2NKFmCpYyYgkuugCFx
131072,47596,3,77,1,2,1,218.056640625,217.986328125,google-resumable-media,QmShK2NScZUmhzQZnHrSHs2V3a7U1ipHwaEaBqJj3KUeyK
