total_cycles,user_cycles,depth,verify_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,comp_name,cid
262144,111874,4,77,5,2,5,218.056640625,217.986328125,virtualenv,QmSTcebafr72gWDP9khBzWRDxcT5QQ8knQqpkojWXP4Bh4
262144,111864,2,76,5,1,10,218.056640625,217.986328125,pre-commit,QmPUPUWzUezrjMjaVx1RK9v6Mn71HVWtFTaXn7eHo7wv2J
65536,27973,2,76,0,2,0,216.087890625,216.017578125,uv,QmcskGXZXDMdqYeWTwsBSpB5EUC3X7pPNqweSvLCDZYYUC
131072,66749,1,77,2,1,12,218.056640625,217.986328125,pre-commit-uv,QmdwZrhjUTWskTBkG8bVFJFQgN1mBBsFJpAJwgo6z7G9mg
131072,66748,1,77,2,1,2,218.056640625,217.986328125,pyright,Qmc4thBvGzygVZCdpGPpur4VrK7QHnuvPNaaKtHmtarA5t
65536,27779,2,76,0,1,0,216.087890625,216.017578125,iniconfig,QmdBgtgp4K6jdymMTd3FQEmYzPhVX2JG5j3fKfDS2ee6XL
65536,27972,4,76,0,2,0,216.087890625,216.017578125,pluggy,QmSHG1bVrwvohKB33Hq3pcehr7qfL1cn5jwAKLDpVBvCMg
262144,137447,1,77,7,1,8,218.056640625,217.986328125,pytest,QmbjbtwQ37qa9zTjCdZj7vCLmh3Y9FkAAY1dyfFJGsdxWf
65536,27780,1,75,0,1,0,216.087890625,216.017578125,ruff,QmZrxNrnJf9cLFBEDAYk8T5wjtzU9HfbRSEEiWZUATCkJf
131072,66742,2,77,2,2,4,218.056640625,217.986328125,starlette,Qmd4Rtf1JrSvSWT7gz1SeJSZgmoVvo5AkcQmEozR4k9KHP
131072,79725,2,76,3,2,4,218.056640625,217.986328125,uvicorn,QmYrvMTNLoHRT5Eb7p8To2if5NwgenbyDj2s8fhbueSbzh
131072,47571,2,76,1,2,4,218.056640625,217.986328125,watchfiles,QmUgmTyhun7dGTK7MJsnmGyPpdhQ9217Z5oL1px2XYHogW
65536,27587,2,76,0,2,0,216.087890625,216.017578125,websockets,QmTg9B4wKYofUSV3ht3zT3TAqa48GT67hB2pd5yJRuXEcU
262144,137267,1,77,7,1,35,218.056640625,217.986328125,sphinx-autobuild,Qmc8S7gJJBCZkVJPicqeJ5D8fxcheAzteUPJi3C6jw6BZk
262144,137267,1,77,7,1,35,218.056640625,217.986328125,sphinx-autobuild,QmUtTDBpM85RUWLvXok92XEA1m6ueByP8do1BUBpieWacT
262144,99062,1,77,4,1,26,218.056640625,217.986328125,sphinx-tabs,Qmc6Aug54iXSdLcEx9y7dXZCGqUK8CGy6PodVQufFbVguL
131072,66776,1,77,2,1,26,218.056640625,217.986328125,sphinxcontrib-log-cabinet,QmbT1i7b7gVUwfzGahbp6PcMs936BgrgRAvkPNoBuz2CL8
65536,27981,4,76,0,1,0,216.087890625,216.017578125,cachetools,QmUHxFeL2Xr79vKbbtgABZQipVcpcfKbUYrmZy3ywxAr73
131072,66926,4,77,2,1,2,218.056640625,217.986328125,pyproject-api,QmaxpUG9BwAodw7fr2vGFHNjjdzcnDUV9U4zZLspRC7ywU
65536,27982,4,76,0,1,0,216.087890625,216.017578125,tomli-w,QmQjUUG6p8nsvdg8vYyJmmEKBbdgEu1JuRh55GeaKGY7zS
262144,207980,3,76,12,1,13,218.056640625,217.986328125,tox,QmTNXJF5TzTGkJUT6aqyabHunzU317jffHYz7KiqZH3VSu
131072,79734,2,76,3,1,14,218.056640625,217.986328125,tox-uv-bare,QmaUpnr6iNhoCawAheNE9pGpW1Nn5e299tUPG9Znb6G8C5
131072,66919,1,77,2,1,16,218.056640625,217.986328125,tox-uv,QmRtNmfLpmrsdWtu1Hah72WivrDT33zWPzSrbM5bfK9hky
65536,28007,1,77,0,1,0,216.087890625,216.017578125,types-contextvars,QmS9hUdE5zzsadx6kPX9fusHkBe6JEDUQYHiZpwB7diUVf
65536,27795,1,77,0,1,0,216.087890625,216.017578125,types-dataclasses,QmbinNwedSYPxBzthDiBqgXDxtPeCFby32UrqRo88rr8Tu
524288,265698,0,78,16,0,82,218.056640625,217.986328125,flask,QmchyVRZ3ajs9ZHetJMai96rxBdCyN4QhZxyPgKfH45EbJ
