cycle,depth,pure_proving_duration,children_count,receipt_size_kb,seal_size_kb,compression_duration
65536,4,11481,0,216.087890625,216.017578125,0
262144,3,40351,5,2500.865234375,2500.794921875,0
65536,3,10962,0,216.087890625,216.017578125,0
65536,3,11195,0,216.087890625,216.017578125,0
524288,2,85557,15,19565.935546875,19565.865234375,0
524288,1,125292,15,218.056640625,217.986328125,23607822
65536,3,11067,0,216.087890625,216.017578125,0
131072,3,21150,3,2500.865234375,2500.794921875,0
65536,3,11003,0,216.087890625,216.017578125,0
131072,4,21082,2,1580.091796875,1580.021484375,0
131072,3,22573,2,2944.095703125,2944.025390625,0
524288,2,85957,14,22111.796875,22111.7265625,0
131072,4,20789,1,1830.11328125,1830.04296875,0
262144,3,42059,5,5229.248046875,5229.177734375,0
131072,2,22748,1,5467.83203125,5467.76171875,0
65536,2,11080,0,216.087890625,216.017578125,0
65536,3,10978,0,216.087890625,216.017578125,0
65536,3,11213,0,216.087890625,216.017578125,0
262144,3,43095,7,7275.06640625,7274.99609375,0
262144,2,44389,10,17460.658203125,17460.587890625,0
131072,3,21030,1,454.671875,454.6015625,0
131072,2,20246,1,693.255859375,693.185546875,0
262144,2,39931,5,1330.4453125,1330.375,0
65536,4,11051,0,216.087890625,216.017578125,0
131072,3,21393,2,670.755859375,670.685546875,0
65536,5,11049,0,216.087890625,216.017578125,0
131072,4,21084,1,454.671875,454.6015625,0
131072,3,20694,2,909.33984375,909.26953125,0
65536,3,10766,0,216.087890625,216.017578125,0
65536,3,11762,0,216.087890625,216.017578125,0
131072,3,20857,1,454.671875,454.6015625,0
65536,5,10654,0,216.087890625,216.017578125,0
262144,4,41164,4,4047.390625,4047.3203125,0
262144,3,41331,4,7685.109375,7685.0390625,0
65536,3,10381,0,216.087890625,216.017578125,0
524288,2,82841,14,16667.21875,16667.1484375,0
131072,2,22002,2,4979.2265625,4979.15625,0
131072,2,22159,2,2716.94921875,2716.87890625,0
65536,4,10937,0,216.087890625,216.017578125,0
262144,3,41101,4,2683.38671875,2683.31640625,0
65536,3,10863,0,216.087890625,216.017578125,0
131072,4,20852,1,454.671875,454.6015625,0
131072,3,22004,3,4513.12109375,4513.05078125,0
65536,4,10986,0,216.087890625,216.017578125,0
262144,3,42509,4,10357.0546875,10356.984375,0
65536,3,10693,0,216.087890625,216.017578125,0
131072,3,20518,1,454.671875,454.6015625,0
262144,2,47019,8,21600.94140625,21600.87109375,0
131072,2,21367,2,1364.0078125,1363.9375,0
65536,5,11037,0,216.087890625,216.017578125,0
65536,6,10605,0,216.087890625,216.017578125,0
131072,5,20514,2,670.755859375,670.685546875,0
65536,5,10758,0,216.087890625,216.017578125,0
131072,5,21599,1,454.671875,454.6015625,0
65536,5,10598,0,216.087890625,216.017578125,0
131072,5,21098,3,1125.423828125,1125.353515625,0
262144,4,41230,8,3581.28515625,3581.21484375,0
131072,3,21916,1,3819.869140625,3819.798828125,0
65536,3,11023,0,216.087890625,216.017578125,0
131072,3,21498,2,1569.029296875,1568.958984375,0
65536,3,11278,0,216.087890625,216.017578125,0
131072,3,21274,2,1364.0078125,1363.9375,0
524288,2,82109,13,13711.314453125,13711.244140625,0
65536,3,10769,0,216.087890625,216.017578125,0
65536,3,10571,0,216.087890625,216.017578125,0
262144,2,40485,4,2012.634765625,2012.564453125,0
65536,3,10579,0,216.087890625,216.017578125,0
131072,4,21189,2,670.755859375,670.685546875,0
262144,3,40730,5,1785.11328125,1785.04296875,0
262144,2,40492,5,2899.470703125,2899.400390625,0
65536,3,11036,0,216.087890625,216.017578125,0
131072,3,20711,1,454.671875,454.6015625,0
65536,3,10776,0,216.087890625,216.017578125,0
262144,2,40376,4,1352.9453125,1352.875,0
524288,1,111690,15,218.056640625,217.986328125,17385669
65536,2,11577,0,216.087890625,216.017578125,0
65536,3,11546,0,216.087890625,216.017578125,0
131072,2,21239,1,454.671875,454.6015625,0
65536,4,11001,0,216.087890625,216.017578125,0
262144,3,39153,4,1352.9453125,1352.875,0
65536,3,11382,0,216.087890625,216.017578125,0
262144,2,41534,7,3138.0546875,3137.984375,0
65536,2,11093,0,216.087890625,216.017578125,0
